,Artist,Name,Album,Release Date,Popularity,Duration (s),Explicit,Danceability,Energy,Key,Mode,Valence,Tempo,Loudness,Liveness,Instrumentalness,Acousticness,Virality
122,Taylor Swift,Question...?,Midnights (3am Edition),2022-10-22,67.0,210.556,1,0.654,0.51,7,1,0.105,108.874,-8.767,0.249,0.0,0.206,0
123,Taylor Swift,Vigilante Shit,Midnights (3am Edition),2022-10-22,74.0,164.801,1,0.872,0.267,4,0,0.168,79.964,-10.764,0.123,2.18e-05,0.166,0
124,Taylor Swift,Bejeweled,Midnights (3am Edition),2022-10-22,78.0,194.165,0,0.687,0.551,7,1,0.443,163.994,-9.202,0.09,0.000143,0.0593,0
125,Taylor Swift,Labyrinth,Midnights (3am Edition),2022-10-22,71.0,247.962,0,0.48,0.295,0,1,0.132,110.018,-15.512,0.12,0.333,0.797,0
126,Taylor Swift,Karma,Midnights (3am Edition),2022-10-22,81.0,204.852,1,0.64,0.619,8,1,0.121,90.008,-7.108,0.475,0.0,0.062,1
127,Taylor Swift,Sweet Nothing,Midnights (3am Edition),2022-10-22,69.0,188.496,0,0.336,0.161,0,1,0.407,176.48,-14.973,0.115,0.00011,0.968,0
128,Taylor Swift,Mastermind,Midnights (3am Edition),2022-10-22,72.0,191.039,0,0.66,0.343,4,1,0.137,125.96,-14.132,0.0922,0.00134,0.565,0
129,Taylor Swift,The Great War,Midnights (3am Edition),2022-10-22,69.0,240.355,0,0.57,0.747,5,1,0.574,96.016,-8.93,0.0854,2.32e-05,0.199,0
130,Taylor Swift,Bigger Than The Whole Sky,Midnights (3am Edition),2022-10-22,67.0,218.502,0,0.42,0.22,6,1,0.0705,165.564,-12.584,0.114,0.00131,0.841,0
131,Taylor Swift,Paris,Midnights (3am Edition),2022-10-22,66.0,196.258,0,0.703,0.518,7,1,0.347,110.94,-10.501,0.148,2.89e-05,0.103,0
132,Taylor Swift,High Infidelity,Midnights (3am Edition),2022-10-22,65.0,231.475,0,0.571,0.547,10,1,0.768,175.933,-10.141,0.0877,0.0,0.704,0
133,Taylor Swift,Glitch,Midnights (3am Edition),2022-10-22,63.0,148.781,0,0.677,0.47,11,0,0.347,140.881,-9.65,0.11,0.0,0.314,0
134,Taylor Swift,"Would've, Could've, Should've",Midnights (3am Edition),2022-10-22,4.0,260.361,0,0.485,0.846,0,1,0.548,157.918,-6.557,0.124,0.00115,0.393,0
135,Taylor Swift,Dear Reader,Midnights (3am Edition),2022-10-22,64.0,225.194,0,0.674,0.39,0,1,0.151,107.891,-11.944,0.116,0.00122,0.464,0
136,Taylor Swift,Lavender Haze,Midnights,2022-10-21,78.0,202.395,1,0.735,0.449,7,0,0.0955,97.05,-10.56,0.132,0.00126,0.23,0
